Month,Date,Presenter,Institute/Company,Title,Abstract,Note
October,2016-10-18,Di Cook,Monash University - Department of Econometrics and Business Statistics,Launch Meetup: The Role of R and Data Visualisation in Understanding Our World,"Frugal Guide to Quantitative Citizenship: The Role of R and Data Visualisation in Understanding Our World:In this technological age, we are drowning in data. Good data visualisation helps us to swim, digest the data, and learn about our world. The statistics community creates visualisation systems within the context of data analysis, so the graphics are designed to support and enrich the statistical processes of data exploration, modeling, and inference. With open data and open source software, the world is your oyster.   ",
December,2016-12-07,Christmas Party and R-Trivia Night!,R-Ladies Melbourne,Christmas Party and R-Trivia Night!,,
Break,2017-01-18,Christmas Break,,,,
February,2017-02-20,Natalia Da Silva,Iowa State University,"Learn About R Notebooks, aheatmap Package and Interactive Graphics","This talk describes structuring data and constructing plots to explore forest classification models interactively. A forest classifier is an example of an ensemble, produced by bagging multiple trees. The process of bagging and combining results from multiple trees, produces numerous diagnostics which with interactive graphics can provide a lot of insight into class structure in high dimensions. Various aspects are explored in this talk, to assess model complexity, individual model contributions, variable importance and dimension reduction, and uncertainty in prediction associated with individual observations. The ideas are applied to the random forest algorithm, and to the projection pursuit forest, but could be more broadly applied to other bagged ensembles. Interactive graphics are built in R, using ggplot2, plotly, and shiny packages.",
,,Jovana Maksimovic,Murdoch Childrens Research Institute,"Learn About R Notebooks, aheatmap Package and Interactive Graphics","As a bioinformatician, I analyse different types of high-dimensional data to answer biological questions. My work requires a lot of data exploration and is often highly iterative. R markdown has become indispensable for keeping my projects organised, reproducible and maintaining version control. However, when working with large datasets involving lots of plots, it was tedious to have to render an entire document to see the results of changes to a single plot. Alternatively, each plot had to be refined on its own, which was acceptable but could become error prone when preceding code was changed. The recent introduction of R notebooks in RStudio 1.0.0 has revolutionised how I work with R markdown. The ability to view plots/results in the source has made editing easy and robust, whilst retaining all the reproducibility and version control perks of traditional R markdown. My recent discovery of the aheatmap function in the NMF CRAN package has also made my life a lot easier by drastically simplifying the code require to create an informative heatmap.   ",
March,2017-03-30,Kaushik Lakshman,Betfair Australia,Building easy and interactive dashboards in R with flexdashboard,"Outputs of analyses or analytics pipelines often contain visualisations, summarised data and commentary around it. While this can be achieved using multiple methods such as good old fashioned Powerpoints, RMarkdowns or Shiny Apps; the good folks at R Studio have given analysts and data scientists a new alternative via a package called flexdashboard. Find out how easy it is to build flexible, attractive and interactive dashboards with R",
April,2017-04-27,Soroor Zadeh,The Walter and Eliza Hall Institute of Medical Research,Project Management and Version Control with Git in RStudio,"As a project evolves and more results are produced, a systematic way of keeping records of the changes to the analysis becomes vital. If you are developing a software or working on scripts in your day-to-day tasks, you would have realised that you need a tool that would allow you to keep track of all the changes you make to the project throughout the development process without requiring you to duplicate files and make copies of them. Such a tool would ideally also allow you to revert any recent changes to the script to the old ones or previous versions. This is called Version Control and Git is one such a tool that provides this facility. I will be introducing basic concepts in Version Control and demonstrate how to use Git in your routine analysis.",
May,2017-05-22,Anna Quaglieri + Saskia Freytag,The Walter and Eliza Hall Institute of Medical Research,Twitter Workshop,How to download and analyse Twitter data in R. As an example we download RuPaul's dragrace tweets that contains two widely used hastags and show how to work in R. We also include an example of how to make a wordcloud and sentiment analysis in R,
June,2017-06-15,Stephanie KovalchiK,Tennis Australia ,"Sports Analytics: scraping data from Web, tidy data, prediction models","What to know what it is like to be a sports statistician? In this talk I will provide a crash course of some common tools in R for conducting data science for sports. Typical activities of sports analysis include web scraping, data wrangling, machine learning, data visualisation, and blogging. I will show tools in R that can be used to tackle each of these steps and provide examples of their application with real-world sports examples.",
July,2017-07-27,Kristen Hunter,Harvard University,An evening with a Lady from HaRvard: building your first Neural Network with R and R debugging,"I will be giving two lightning talks. The first is on understanding the basic concepts of a neural network, and how to build a neural network in R. Next, I will discuss some underutilized R tools: the debug and profile functions. These built-in tools in Rstudio help you debug your code more easily and show you the bottlenecks in R scripts. I love interacting with the audience and answering questions, and I am also happy to discuss my experiences working in academia, data science, and software engineering.",
