title,http,Date
Intro to R-Shiny,https://www.meetup.com/R-Ladies-Melbourne/events/244773109/?eventId=244773109&a=socialmedia,23/11/17
Launch Meetup,https://www.meetup.com/R-Ladies-Melbourne/events/234683544/,18/10/17
Random Forest & Climate Change,https://www.meetup.com/R-Ladies-Melbourne/events/244102535/,25/10/17
Intro to R,https://www.meetup.com/R-Ladies-Melbourne/events/243621979/,24/9/17
mixOmics,https://www.meetup.com/R-Ladies-Melbourne/events/242347388/,22/8/17
Neural Networks,https://www.meetup.com/R-Ladies-Melbourne/events/241263529/,17/7/17
Sport Analytics,https://www.meetup.com/R-Ladies-Melbourne/events/240353340/,15/6/17
Twitter Workshop,https://www.meetup.com/R-Ladies-Melbourne/events/239791772/,22/5/17
GitHub,https://www.meetup.com/R-Ladies-Melbourne/events/239423419/,5/4/17
Dashboards with R,https://www.meetup.com/R-Ladies-Melbourne/events/238178118/,30/3/17
Women's Day Breakky,https://www.meetup.com/R-Ladies-Melbourne/events/238200249/,8/3/17
Notebooks,https://www.meetup.com/R-Ladies-Melbourne/events/237490455/,20/2/17
Christmas Party,https://www.meetup.com/R-Ladies-Melbourne/events/235774670/,7/12/17
