"Date_joined","New_members","cumulative"
2016-09-01,1,1
2016-09-02,5,6
2016-09-04,2,8
2016-09-05,9,17
2016-09-06,12,29
2016-09-07,5,34
2016-09-08,1,35
2016-09-09,1,36
2016-09-11,1,37
2016-09-12,1,38
2016-09-13,5,43
2016-09-14,1,44
2016-09-16,1,45
2016-09-19,7,52
2016-09-20,6,58
2016-09-22,3,61
2016-09-23,1,62
2016-09-25,1,63
2016-09-26,1,64
2016-09-28,1,65
2016-10-01,1,66
2016-10-02,1,67
2016-10-03,3,70
2016-10-04,1,71
2016-10-05,3,74
2016-10-06,1,75
2016-10-07,2,77
2016-10-08,1,78
2016-10-09,3,81
2016-10-10,2,83
2016-10-11,15,98
2016-10-12,33,131
2016-10-13,15,146
2016-10-14,3,149
2016-10-15,2,151
2016-10-16,9,160
2016-10-17,10,170
2016-10-18,4,174
2016-10-19,3,177
2016-10-21,1,178
2016-10-22,1,179
2016-10-23,2,181
2016-10-25,1,182
2016-10-26,1,183
2016-10-27,1,184
2016-10-28,2,186
2016-10-30,4,190
2016-11-01,1,191
2016-11-05,1,192
2016-11-06,2,194
2016-11-09,1,195
2016-11-10,1,196
2016-11-14,3,199
2016-11-23,3,202
2016-11-24,2,204
2016-11-25,2,206
2016-11-27,2,208
2016-11-28,1,209
2016-12-01,4,213
2016-12-03,2,215
2016-12-04,5,220
2016-12-05,1,221
2016-12-06,3,224
2016-12-07,1,225
2016-12-08,3,228
2016-12-15,1,229
2016-12-17,1,230
2016-12-19,1,231
2016-12-29,2,233
2016-12-31,1,234
2017-01-01,1,235
2017-01-03,1,236
2017-01-05,1,237
2017-01-07,1,238
2017-01-09,1,239
2017-01-10,3,242
2017-01-12,1,243
2017-01-16,2,245
2017-01-18,1,246
2017-01-19,1,247
2017-01-21,2,249
2017-01-22,1,250
2017-01-27,1,251
2017-02-01,2,253
2017-02-06,1,254
2017-02-07,2,256
2017-02-08,2,258
2017-02-09,2,260
2017-02-10,2,262
2017-02-12,2,264
2017-02-13,2,266
2017-02-14,10,276
2017-02-15,8,284
2017-02-16,5,289
2017-02-17,4,293
2017-02-18,8,301
2017-02-19,20,321
2017-02-20,3,324
2017-02-21,2,326
2017-02-22,2,328
2017-02-23,3,331
2017-02-24,1,332
2017-02-25,1,333
2017-02-27,1,334
2017-02-28,3,337
2017-03-02,2,339
2017-03-03,2,341
2017-03-05,1,342
2017-03-06,1,343
2017-03-07,2,345
2017-03-08,1,346
2017-03-14,4,350
2017-03-16,1,351
2017-03-19,1,352
2017-03-20,1,353
2017-03-21,1,354
2017-03-22,4,358
2017-03-23,4,362
2017-03-24,1,363
2017-03-25,2,365
2017-03-26,2,367
2017-03-27,1,368
2017-03-28,2,370
2017-03-30,3,373
2017-04-02,2,375
2017-04-04,2,377
2017-04-05,1,378
2017-04-06,1,379
2017-04-07,1,380
2017-04-11,2,382
2017-04-12,1,383
2017-04-13,1,384
2017-04-16,2,386
2017-04-19,2,388
2017-04-21,1,389
2017-04-23,4,393
2017-04-24,1,394
2017-04-25,2,396
2017-04-26,2,398
2017-04-28,2,400
2017-05-01,3,403
2017-05-03,1,404
2017-05-04,1,405
2017-05-06,2,407
2017-05-07,1,408
2017-05-10,8,416
2017-05-11,2,418
2017-05-12,1,419
2017-05-13,2,421
2017-05-14,2,423
2017-05-15,1,424
2017-05-16,2,426
2017-05-19,2,428
2017-05-21,1,429
2017-05-22,1,430
2017-05-23,1,431
2017-05-24,2,433
2017-05-25,2,435
2017-05-26,1,436
2017-05-27,1,437
2017-05-28,1,438
2017-05-29,1,439
2017-06-01,1,440
2017-06-02,2,442
2017-06-04,2,444
2017-06-06,1,445
2017-06-07,1,446
2017-06-09,1,447
2017-06-10,2,449
2017-06-11,1,450
2017-06-12,1,451
2017-06-13,1,452
2017-06-14,2,454
2017-06-15,2,456
2017-06-17,1,457
2017-06-20,4,461
2017-06-22,2,463
2017-06-27,2,465
2017-06-28,1,466
2017-06-30,1,467
2017-07-05,3,470
2017-07-06,2,472
2017-07-07,4,476
2017-07-09,2,478
2017-07-10,2,480
2017-07-11,3,483
2017-07-12,1,484
2017-07-13,2,486
2017-07-14,4,490
2017-07-16,3,493
2017-07-17,4,497
2017-07-18,1,498
2017-07-19,1,499
2017-07-20,2,501
2017-07-22,2,503
2017-07-24,1,504
2017-07-26,1,505
2017-07-29,2,507
2017-08-02,1,508
2017-08-03,1,509
2017-08-04,1,510
2017-08-07,1,511
2017-08-08,1,512
2017-08-09,2,514
2017-08-10,2,516
2017-08-11,1,517
2017-08-13,3,520
2017-08-14,4,524
2017-08-15,1,525
2017-08-16,2,527
2017-08-18,3,530
2017-08-20,3,533
2017-08-21,4,537
2017-08-24,1,538
2017-08-29,1,539
2017-08-31,2,541
2017-09-06,1,542
2017-09-10,1,543
2017-09-12,2,545
2017-09-15,1,546
2017-09-21,2,548
2017-09-23,2,550
2017-09-27,1,551
2017-09-28,1,552
2017-10-02,1,553
2017-10-05,1,554
2017-10-09,1,555
2017-10-10,1,556
2017-10-11,4,560
2017-10-12,4,564
2017-10-13,1,565
2017-10-18,4,569
2017-10-19,2,571
2017-10-22,4,575
2017-10-23,3,578
2017-10-24,8,586
2017-10-25,2,588
2017-10-27,1,589
2017-10-29,1,590
2017-10-30,4,594
2017-10-31,2,596
2017-11-01,1,597
2017-11-02,3,600
2017-11-03,1,601
2017-11-04,4,605
2017-11-05,3,608
